name,year_start,year_end,birth_date,college,player_name_clean,height_m,weight_kg,age_at_debut,age_at_last_season,position_all,position_main,BMI,body_fat_pct_est,fat_mass_kg,lean_mass_kg
Alexis Ajinca,2009,2017,1988-05-06,Unknown,Alexis Ajinca,2.2,112.5,21,29,C,C,23.2,18.3,20.6,91.9
Henry Akin,1967,1969,1944-07-31,Morehead State University,Henry Akin,2.1,102.1,23,25,C/F,C,23.2,17.4,17.8,84.3
Josh Akognon,2013,2013,1986-02-10,"California State University, Fullerton",Josh Akognon,1.8,83.9,27,27,G,G,25.9,21.1,17.7,66.2
Solomon Alabi,2011,2012,1988-03-21,Florida State University,Solomon Alabi,2.2,113.9,23,24,C,C,23.5,17.5,19.9,94.0
Mark Alarie,1987,1991,1963-12-11,Duke University,Mark Alarie,2.0,98.4,24,28,F,F,24.6,19.8,19.5,78.9
Gary Alcorn,1960,1961,1936-10-08,"California State University, Fresno",Gary Alcorn,2.1,102.1,24,25,C,C,23.2,17.4,17.8,84.3
Furkan Aldemir,2015,2015,1991-08-09,Unknown,Furkan Aldemir,2.1,108.9,24,24,F/C,F,24.7,19.0,20.7,88.2
Cole Aldrich,2011,2018,1988-10-31,University of Kansas,Cole Aldrich,2.1,113.4,23,30,C,C,25.7,21.5,24.4,89.0
LaMarcus Aldridge,2007,2018,1985-07-19,University of Texas at Austin,Lamarcus Aldridge,2.1,117.9,22,33,F/C,F,26.7,23.4,27.6,90.3
Chuck Aleksinas,1985,1985,1959-02-26,University of Connecticut,Chuck Aleksinas,2.1,117.9,26,26,C,C,26.7,21.8,25.7,92.2
Cliff Alexander,2016,2016,1995-11-16,University of Kansas,Cliff Alexander,2.0,111.1,21,21,F,F,27.8,22.0,24.4,86.7
Cory Alexander,1996,2005,1973-06-22,University of Virginia,Cory Alexander,1.9,83.9,23,32,G,G,23.2,19.0,15.9,68.0
Courtney Alexander,2001,2003,1977-04-27,"California State University, Fresno",Courtney Alexander,2.0,93.0,24,26,G,G,23.2,17.6,16.4,76.6
Gary Alexander,1994,1994,1969-11-01,University of South Florida,Gary Alexander,2.0,108.9,25,25,F,F,27.2,22.2,24.2,84.7
Joe Alexander,2009,2010,1986-12-26,West Virginia University,Joe Alexander,2.0,104.3,23,24,F,F,26.1,20.6,21.5,82.8
Victor Alexander,1992,2002,1969-08-31,Iowa State University,Victor Alexander,2.1,120.2,23,33,C/F,C,27.3,24.2,29.1,91.1
Steve Alford,1988,1991,1964-11-23,Indiana University,Steve Alford,1.9,83.0,24,27,G,G,23.0,17.6,14.6,68.4
Bill Allen,1968,1968,,New Mexico State University,Bill Allen,2.0,93.0,,,C/F,C,23.2,,,
Bob Allen,1969,1969,1946-07-17,Marshall University,Bob Allen,2.1,93.0,23,23,F,F,21.1,14.4,13.4,79.6
Jarrett Allen,2018,2018,1998-04-21,University of Texas at Austin,Jarrett Allen,2.1,106.1,20,20,F/C,F,24.1,17.3,18.4,87.7
Jerome Allen,1996,1997,1973-01-28,University of Pennsylvania,Jerome Allen,1.9,83.5,23,24,G,G,23.1,17.0,14.2,69.3
Kadeem Allen,2018,2018,1993-01-15,University of Arizona,Kadeem Allen,1.9,87.1,25,25,G,G,24.1,18.5,16.1,71.0
Lavoy Allen,2012,2017,1989-02-04,Temple University,Lavoy Allen,2.1,117.9,23,28,F/C,F,26.7,22.3,26.3,91.6
Lucius Allen,1970,1979,1947-09-26,"University of California, Los Angeles",Lucius Allen,1.9,79.4,23,32,G,G,22.0,17.6,14.0,65.4
Malik Allen,2002,2011,1978-06-27,Villanova University,Malik Allen,2.1,115.7,24,33,F/C,F,26.2,22.8,26.4,89.3
Randy Allen,1989,1990,1965-01-26,Florida State University,Randy Allen,2.0,99.8,24,25,F,F,25.0,19.6,19.6,80.2
Ray Allen,1997,2014,1975-07-20,University of Connecticut,Ray Allen,2.0,93.0,22,39,G,G,23.2,20.6,19.2,73.8
Tony Allen,2005,2018,1982-01-11,Oklahoma State University,Tony Allen,1.9,96.6,23,36,G/F,G,26.8,24.2,23.4,73.2
Willie Allen,1972,1972,1949-02-08,University of Miami,Willie Allen,2.0,104.3,23,23,F,F,26.1,20.4,21.3,83.0
Odis Allison,1972,1972,1949-10-02,"University of Nevada, Las Vegas",Odis Allison,2.0,88.5,23,23,F,F,22.1,15.6,13.8,74.7
Lance Allred,2008,2008,1981-02-02,Weber State University,Lance Allred,2.1,113.4,27,27,C,C,25.7,20.8,23.6,89.8
Darrell Allums,1981,1981,1958-09-12,"University of California, Los Angeles",Darrell Allums,2.1,99.8,23,23,F,F,22.6,16.2,16.2,83.6
Morris Almond,2008,2012,1985-02-02,Rice University,Morris Almond,2.0,102.1,23,27,G,G,25.5,20.6,21.0,81.1
Derrick Alston,1995,1997,1972-08-20,Duquesne University,Derrick Alston,2.1,102.1,23,25,F,F,23.2,17.4,17.8,84.3
Rafer Alston,2000,2010,1976-07-24,"California State University, Fresno",Rafer Alston,1.9,77.6,24,34,G,G,21.5,17.4,13.5,64.1
Peter Aluma,1999,1999,1973-04-23,Liberty University,Peter Aluma,2.1,117.9,26,26,C,C,26.7,21.8,25.7,92.2
John Amaechi,1996,2003,1970-11-26,Pennsylvania State University,John Amaechi,2.1,122.5,26,33,C/F,C,27.8,24.8,30.4,92.1
Ashraf Amaya,1996,1997,1971-11-23,Southern Illinois University,Ashraf Amaya,2.0,104.3,25,26,F,F,26.1,21.1,22.0,82.3
Al-Farouq Aminu,2011,2018,1990-09-21,Wake Forest University,Alfarouq Aminu,2.1,99.8,21,28,F,F,22.6,17.4,17.4,82.4
Lou Amundson,2007,2016,1982-12-07,"University of Nevada, Las Vegas",Lou Amundson,2.1,99.8,25,34,F,F,22.6,18.7,18.7,81.1
Bob Anderegg,1960,1960,1937-08-24,Michigan State University,Bob Anderegg,1.9,90.7,23,23,F/G,F,25.1,19.2,17.4,73.3
Chris Andersen,2002,2017,1978-07-07,Blinn College,Chris Andersen,2.1,111.1,24,39,F/C,F,25.2,23.0,25.6,85.5
David Andersen,2010,2011,1980-06-23,Unknown,David Andersen,2.1,111.1,30,31,C,C,25.2,21.2,23.6,87.5
Alan Anderson,2006,2017,1982-10-16,Michigan State University,Alan Anderson,2.0,99.8,24,35,G/F,G,25.0,21.8,21.8,78.0
Andrew Anderson,1968,1970,1945-07-06,Canisius College,Andrew Anderson,1.9,83.5,23,25,G,G,23.1,17.3,14.4,69.1
Antonio Anderson,2010,2010,1985-06-05,University of Memphis,Antonio Anderson,2.0,97.5,25,25,G,G,24.4,18.8,18.3,79.2
Cliff Anderson,1968,1971,1944-09-07,Saint Joseph's University,Cliff Anderson,1.9,90.7,24,27,G/F,G,25.1,20.1,18.2,72.5
Dan Anderson,1968,1969,1943-02-15,Augsburg College,Dan Anderson,2.1,104.3,25,26,C,C,23.7,18.2,19.0,85.3
Dan Anderson,1975,1976,1951-01-01,University of Southern California,Dan Anderson,1.9,83.9,24,25,G,G,23.2,17.4,14.6,69.3
Derek Anderson,1998,2008,1974-07-18,University of Kentucky,Derek Anderson,2.0,88.0,24,34,G,G,22.0,18.0,15.8,72.2
Dwight Anderson,1983,1983,1960-12-28,University of Southern California,Dwight Anderson,1.9,83.9,23,23,G,G,23.2,16.9,14.2,69.7
Eric Anderson,1993,1994,1970-05-26,Indiana University,Eric Anderson,2.1,99.8,23,24,F,F,22.6,16.4,16.4,83.4
Greg Anderson,1988,1998,1964-06-22,University of Houston,Greg Anderson,2.1,104.3,24,34,F/C,F,23.7,20.1,21.0,83.3
J.J. Anderson,1983,1985,1960-09-23,Bradley University,Jj Anderson,2.0,88.5,23,25,F,F,22.1,16.1,14.2,74.3
James Anderson,2011,2016,1989-03-25,Oklahoma State University,James Anderson,2.0,96.6,22,27,G/F,G,24.2,19.0,18.4,78.2
Jerome Anderson,1976,1977,1953-10-09,West Virginia University,Jerome Anderson,2.0,88.5,23,24,G,G,22.1,15.8,14.0,74.5
Justin Anderson,2016,2018,1993-11-19,University of Virginia,Justin Anderson,2.0,103.4,23,25,G,G,25.8,20.5,21.2,82.2
Kenny Anderson,1992,2005,1970-10-09,Georgia Institute of Technology,Kenny Anderson,1.8,76.2,22,35,G,G,23.5,20.0,15.2,61.0
Kim Anderson,1979,1979,1955-05-12,University of Missouri,Kim Anderson,2.0,90.7,24,24,F,F,22.7,16.6,15.1,75.6
Kyle Anderson,2015,2018,1993-09-20,"University of California, Los Angeles",Kyle Anderson,2.1,104.3,22,25,F/G,F,23.7,18.0,18.8,85.5
Michael Anderson,1989,1989,1966-03-23,Drexel University,Michael Anderson,1.8,83.5,23,23,G,G,25.8,20.0,16.7,66.8
Nick Anderson,1990,2002,1968-01-20,University of Illinois at Urbana-Champaign,Nick Anderson,2.0,93.0,22,34,F/G,F,23.2,19.5,18.1,74.9
Richard Anderson,1983,1990,1960-11-19,"University of California, Santa Barbara",Richard Anderson,2.1,108.9,23,30,F/C,F,24.7,20.3,22.1,86.8
Ron Anderson,1985,1994,1958-10-15,"California State University, Fresno",Ron Anderson,2.0,97.5,27,36,F/G,F,24.4,21.4,20.9,76.6
Ryan Anderson,2009,2018,1988-05-06,University of California,Ryan Anderson,2.1,108.9,21,30,F,F,24.7,20.3,22.1,86.8
