name,year_start,year_end,birth_date,college,player_name_clean,height_m,weight_kg,age_at_debut,age_at_last_season,position_all,position_main,BMI,body_fat_pct_est,fat_mass_kg,lean_mass_kg
Gene Phillips,1972,1973,1948-10-25,Southern Methodist University,Gene Phillips,1.9,79.4,24,25,G,G,22.0,16.0,12.7,66.7
Bobby Phills,1992,2000,1969-12-20,Southern University and A&M College,Bobby Phills,2.0,95.3,23,31,G,G,23.8,19.5,18.6,76.7
Eric Piatkowski,1995,2008,1970-09-30,University of Nebraska,Eric Piatkowski,2.0,97.5,25,38,G/F,G,24.4,21.8,21.3,76.2
Walter Piatkowski,1969,1972,1945-06-11,Bowling Green State University,Walter Piatkowski,2.0,99.8,24,27,F,F,25.0,20.0,20.0,79.8
Paul Pierce,1999,2017,1977-10-13,University of Kansas,Paul Pierce,2.0,106.6,22,40,F/G,F,26.6,24.9,26.5,80.1
Ricky Pierce,1983,1998,1959-08-19,Rice University,Ricky Pierce,1.9,93.0,24,39,G,G,25.8,23.7,22.0,71.0
Stan Pietkiewicz,1979,1981,1956-07-14,Auburn University,Stan Pietkiewicz,2.0,90.7,23,25,G/F,G,22.7,16.8,15.2,75.5
Mickael Pietrus,2004,2013,1982-02-07,Unknown,Mickael Pietrus,2.0,97.5,22,31,G/F,G,24.4,20.2,19.7,77.8
John Pilch,1952,1952,1925-07-11,University of Wyoming,John Pilch,1.9,83.9,27,27,F,F,23.2,17.8,14.9,69.0
Ed Pinckney,1986,1997,1963-03-27,Villanova University,Ed Pinckney,2.1,88.5,23,34,F,F,20.1,15.7,13.9,74.6
Kevinn Pinkney,2007,2007,1983-10-20,"University of Nevada, Reno",Kevinn Pinkney,2.1,111.1,24,24,F,F,25.2,19.6,21.8,89.3
John Pinone,1984,1984,1961-02-19,Villanova University,John Pinone,2.0,104.3,23,23,F,F,26.1,20.4,21.3,83.0
Dave Piontek,1957,1963,1934-08-27,Xavier University,Dave Piontek,2.0,104.3,23,29,F/C,F,26.1,21.8,22.7,81.6
Tom Piotrowski,1984,1984,1960-10-17,La Salle University,Tom Piotrowski,2.2,108.9,24,24,C,C,22.5,16.3,17.8,91.1
Scottie Pippen,1988,2004,1965-09-25,University of Central Arkansas,Scottie Pippen,2.0,95.3,23,39,F/G,F,23.8,21.3,20.3,75.0
Charles Pittman,1983,1986,1958-03-23,University of Maryland,Charles Pittman,2.0,99.8,25,28,F,F,25.0,20.2,20.2,79.6
Dexter Pittman,2011,2014,1988-03-02,University of Texas at Austin,Dexter Pittman,2.1,139.7,23,26,C,C,31.7,27.8,38.8,100.9
Zoran Planinic,2004,2006,1982-09-12,Unknown,Zoran Planinic,2.0,88.5,22,24,G,G,22.1,15.8,14.0,74.5
Tibor Pleiss,2016,2016,1989-11-02,Unknown,Tibor Pleiss,2.2,116.1,27,27,C,C,24.0,18.8,21.8,94.3
Marshall Plumlee,2017,2017,1992-07-14,Duke University,Marshall Plumlee,2.1,113.4,25,25,C,C,25.7,20.4,23.1,90.3
Mason Plumlee,2014,2018,1990-03-05,Duke University,Mason Plumlee,2.1,111.1,24,28,C/F,C,25.2,20.5,22.8,88.3
Miles Plumlee,2013,2018,1988-09-01,Duke University,Miles Plumlee,2.1,112.9,25,30,C/F,C,25.6,21.4,24.2,88.7
Gary Plummer,1985,1993,1962-02-21,Boston University,Gary Plummer,2.1,97.5,23,31,F/C,F,22.1,17.4,17.0,80.5
Pavel Podkolzin,2005,2006,1985-01-15,Unknown,Pavel Podkolzin,2.3,117.9,20,21,C,C,22.3,15.4,18.2,99.7
Jakob Poeltl,2017,2018,1995-10-15,University of Utah,Jakob Poeltl,2.1,112.5,22,23,C,C,25.5,19.7,22.2,90.3
Dwayne Polee,1987,1987,1963-03-02,Pepperdine University,Dwayne Polee,2.0,81.6,24,24,G,G,20.4,13.8,11.3,70.3
Jim Pollard,1949,1955,1922-07-09,Stanford University,Jim Pollard,1.9,83.9,27,33,F/C,F,23.2,19.2,16.1,67.8
Scot Pollard,1998,2008,1975-02-12,University of Kansas,Scot Pollard,2.1,120.2,23,33,C,C,27.3,24.2,29.1,91.1
Ralph Polson,1953,1953,1929-10-26,Whitworth,Ralph Polson,2.0,90.7,24,24,F/C,F,22.7,16.6,15.1,75.6
Olden Polynice,1988,2004,1964-11-21,University of Virginia,Olden Polynice,2.1,99.8,24,40,C/F,C,22.6,20.1,20.1,79.7
Cliff Pondexter,1976,1978,1954-09-15,"California State University, Long Beach",Cliff Pondexter,2.1,105.7,22,24,F/C,F,24.0,18.1,19.1,86.6
Quincy Pondexter,2011,2018,1988-03-10,University of Washington,Quincy Pondexter,2.0,99.8,23,30,G/F,G,25.0,20.7,20.7,79.1
David Pope,1985,1986,1962-04-15,Norfolk State University,David Pope,2.0,99.8,23,24,F,F,25.0,19.3,19.3,80.5
Mark Pope,1998,2005,1972-09-11,University of Kentucky,Mark Pope,2.1,106.6,26,33,F,F,24.2,20.4,21.7,84.9
Dave Popson,1989,1992,1964-05-17,University of North Carolina,Dave Popson,2.1,99.8,25,28,F/C,F,22.6,17.4,17.4,82.4
Ben Poquette,1978,1987,1955-05-07,Central Michigan University,Ben Poquette,2.1,106.6,23,32,F/C,F,24.2,20.2,21.5,85.1
Chris Porter,2001,2001,1978-05-09,Auburn University,Chris Porter,2.0,98.9,23,23,F,F,24.7,18.7,18.5,80.4
Howard Porter,1972,1978,1948-08-31,Villanova University,Howard Porter,2.0,99.8,24,30,F/C,F,25.0,20.7,20.7,79.1
Kevin Porter,1973,1983,1950-04-17,Saint Francis University,Kevin Porter,1.8,77.1,23,33,G,G,23.8,20.0,15.4,61.7
Otto Porter,2014,2018,1993-06-03,Georgetown University,Otto Porter,2.0,89.8,21,25,F,F,22.4,16.4,14.7,75.1
Terry Porter,1986,2002,1963-04-08,University of Wisconsin-Stevens Point,Terry Porter,1.9,88.5,23,39,G,G,24.5,22.2,19.6,68.9
Willie Porter,1968,1969,1942-07-03,Tennessee State University,Willie Porter,2.0,93.0,26,27,F,F,23.2,17.8,16.6,76.4
Bobby Portis,2016,2018,1995-02-10,University of Arkansas,Bobby Portis,2.1,104.3,21,23,F,F,23.7,17.5,18.3,86.0
Bob Portman,1970,1973,1947-03-22,Creighton University,Bob Portman,2.0,90.7,23,26,F,F,22.7,17.0,15.4,75.3
Kristaps Porzingis,2016,2018,1995-08-02,Unknown,Kristaps Porzingis,2.2,108.9,21,23,F/C,F,22.5,16.1,17.5,91.4
James Posey,2000,2011,1977-01-13,Xavier University,James Posey,2.0,97.5,23,34,F/G,F,24.4,20.9,20.4,77.1
Lavor Postell,2001,2003,1978-02-26,St. John's University,Lavor Postell,2.0,97.5,23,25,G,G,24.4,18.8,18.3,79.2
John Postley,1968,1968,1940-05-30,Bethune-Cookman College,John Postley,2.0,99.8,28,28,F,F,25.0,20.2,20.2,79.6
Vitaly Potapenko,1997,2007,1975-03-21,Wright State University,Vitaly Potapenko,2.1,127.0,22,32,C,C,28.8,25.7,32.6,94.4
Leon Powe,2007,2011,1984-01-22,University of California,Leon Powe,2.0,108.9,23,27,F,F,27.2,22.7,24.7,84.2
Cincinnatus Powell,1968,1975,1942-02-25,University of Portland,Cincinnatus Powell,2.0,99.8,26,33,F/C,F,25.0,21.4,21.4,78.4
Dwight Powell,2015,2018,1991-07-20,Stanford University,Dwight Powell,2.1,108.9,24,27,F/C,F,24.7,19.6,21.3,87.6
Josh Powell,2006,2014,1983-01-25,North Carolina State University,Josh Powell,2.1,102.1,23,31,F,F,23.2,18.8,19.2,82.9
Kasib Powell,2008,2008,1981-03-18,Texas Tech University,Kasib Powell,2.0,97.5,27,27,F,F,24.4,19.3,18.8,78.7
Norman Powell,2016,2018,1993-05-25,"University of California, Los Angeles",Norman Powell,1.9,97.5,23,25,G,G,27.0,22.0,21.4,76.1
Roger Powell,2007,2007,1983-01-15,University of Illinois at Urbana-Champaign,Roger Powell,2.0,106.6,24,24,F,F,26.6,21.2,22.6,84.0
Alex Poythress,2017,2018,1993-09-06,University of Kentucky,Alex Poythress,2.0,108.0,24,25,F,F,27.0,22.0,23.8,84.2
Marlbert Pradd,1968,1969,1944-11-17,Dillard University,Marlbert Pradd,1.9,77.1,24,25,G,G,21.4,15.2,11.7,65.4
Mike Pratt,1971,1972,1948-08-04,University of Kentucky,Mike Pratt,1.9,88.5,23,24,G/F,G,24.5,18.7,16.5,72.0
Paul Pressey,1983,1993,1958-12-24,University of Tulsa,Paul Pressey,2.0,83.9,25,35,G/F,G,21.0,17.0,14.3,69.6
Phil Pressey,2014,2016,1991-02-17,University of Missouri,Phil Pressey,1.8,79.4,23,25,G,G,24.5,19.0,15.1,64.3
Dominic Pressley,1989,1989,1964-05-30,Boston College,Dominic Pressley,1.9,77.1,25,25,G,G,21.4,15.2,11.7,65.4
Harold Pressley,1987,1990,1963-07-14,Villanova University,Harold Pressley,2.0,95.3,24,27,F/G,F,23.8,18.6,17.7,77.6
Stephen Previs,1973,1973,1950-02-09,University of North Carolina,Stephen Previs,1.9,83.0,23,23,G,G,23.0,16.7,13.9,69.1
A.J. Price,2010,2015,1986-10-07,University of Connecticut,Aj Price,1.9,82.1,24,29,G,G,22.7,17.7,14.5,67.6
Brent Price,1993,2002,1968-12-09,University of Oklahoma,Brent Price,1.9,74.8,25,34,G,G,20.7,16.5,12.3,62.5
Jim Price,1973,1979,1949-11-27,University of Louisville,Jim Price,1.9,88.5,24,30,G,G,24.5,20.1,17.8,70.7
Mark Price,1987,1998,1964-02-15,Georgia Institute of Technology,Mark Price,1.8,77.1,23,34,G,G,23.8,20.2,15.6,61.5
Mike Price,1971,1973,1948-09-11,University of Illinois at Urbana-Champaign,Mike Price,1.9,90.7,23,25,G,G,25.1,19.7,17.9,72.8
Ronnie Price,2006,2017,1983-06-21,Utah Valley State College,Ronnie Price,1.9,86.2,23,34,G,G,23.9,20.3,17.5,68.7
Tony Price,1981,1981,1957-01-05,University of Pennsylvania,Tony Price,2.0,86.2,24,24,G,G,21.6,15.2,13.1,73.1
Bob Priddy,1953,1953,1930-03-24,New Mexico State University,Bob Priddy,1.9,86.2,23,23,F,F,23.9,17.8,15.3,70.9
Pablo Prigioni,2013,2016,1977-05-17,Unknown,Pablo Prigioni,1.9,83.9,36,39,G,G,23.2,20.6,17.3,66.6
Tayshaun Prince,2003,2016,1980-02-28,University of Kentucky,Tayshaun Prince,2.1,96.2,23,36,F,F,21.8,18.2,17.5,78.7
John Pritchard,1950,1950,1927-01-23,Drake University,John Pritchard,2.1,99.8,23,23,C,C,22.6,16.2,16.2,83.6
Kevin Pritchard,1991,1996,1967-07-17,University of Kansas,Kevin Pritchard,1.9,81.6,24,29,G,G,22.6,17.6,14.4,67.2
Laron Profit,2000,2006,1977-08-05,University of Maryland,Laron Profit,2.0,92.5,23,29,G/F,G,23.1,18.2,16.8,75.7
Gabe Pruitt,2008,2009,1986-04-19,University of Southern California,Gabe Pruitt,1.9,77.1,22,23,G,G,21.4,14.8,11.4,65.7
Joel Przybilla,2001,2013,1979-10-10,University of Minnesota,Joel Przybilla,2.2,115.7,22,34,C,C,23.9,20.3,23.5,92.2
Les Pugh,1949,1950,1922-09-18,Ohio State University,Les Pugh,2.0,86.2,27,28,C/F,C,21.6,16.2,14.0,72.2
Roy Pugh,1949,1949,1922-10-16,Southern Methodist University,Roy Pugh,2.0,95.3,27,27,C/F,C,23.8,18.6,17.7,77.6
Anthony Pullard,1993,1993,1966-06-23,McNeese State University,Anthony Pullard,2.1,111.1,27,27,F,F,25.2,20.2,22.4,88.7
Jacob Pullen,2018,2018,1989-11-10,Kansas State University,Jacob Pullen,1.9,90.7,29,29,G,G,25.1,20.6,18.7,72.0
Don Putman,1947,1950,1922-11-13,University of Denver,Don Putman,1.9,77.1,25,28,G,G,21.4,15.9,12.3,64.8
Zhou Qi,2018,2018,1996-01-16,Unknown,Zhou Qi,2.2,95.3,22,22,F/C,F,19.7,12.5,11.9,83.4
Tim Quarterman,2017,2017,1994-10-27,Louisiana State University,Tim Quarterman,2.0,88.5,23,23,G,G,22.1,15.6,13.8,74.7
Bob Quick,1969,1972,1946-03-05,Xavier University,Bob Quick,2.0,97.5,23,26,F/G,F,24.4,19.1,18.6,78.9
Chris Quinn,2007,2013,1983-09-27,University of Notre Dame,Chris Quinn,1.9,83.9,24,30,G,G,23.2,18.5,15.5,68.4
Brian Quinnett,1990,1992,1966-05-30,Washington State University,Brian Quinnett,2.0,106.6,24,26,F,F,26.6,21.7,23.1,83.5
Ivan Rabb,2018,2018,1997-02-04,University of California,Ivan Rabb,2.1,99.8,21,21,F,F,22.6,15.8,15.8,84.0
Luther Rackley,1970,1974,1946-06-11,Xavier University,Luther Rackley,2.1,99.8,24,28,C,C,22.6,17.4,17.4,82.4
Howie Rader,1949,1949,1921-03-29,Long Island University,Howie Rader,1.9,86.2,28,28,G/F,G,23.9,18.9,16.3,69.9
Mark Radford,1982,1983,1959-07-05,Oregon State University,Mark Radford,1.9,86.2,23,24,G,G,23.9,18.0,15.5,70.7
Wayne Radford,1979,1979,1956-05-29,Indiana University,Wayne Radford,1.9,93.0,23,23,G,G,25.8,20.0,18.6,74.4
Dino Radja,1994,1997,1967-04-24,Unknown,Dino Radja,2.1,102.1,27,30,F/C,F,23.2,18.5,18.9,83.2
Vladimir Radmanovic,2002,2013,1980-11-19,Unknown,Vladimir Radmanovic,2.1,103.0,22,33,F,F,23.4,19.5,20.1,82.9
Aleksandar Radojevic,2000,2005,1976-08-08,Barton County Community College,Aleksandar Radojevic,2.2,113.4,24,29,C,C,23.4,18.6,21.1,92.3
Frank Radovich,1962,1962,1938-03-03,Indiana University,Frank Radovich,2.0,106.6,24,24,F,F,26.6,21.2,22.6,84.0
Moe Radovich,1953,1953,1929-05-05,University of Wyoming,Moe Radovich,1.8,72.6,24,24,G,G,22.4,16.2,11.8,60.8
Miroslav Raduljica,2014,2015,1988-01-05,Unknown,Miroslav Raduljica,2.1,113.4,26,27,C,C,25.7,20.8,23.6,89.8
Ray Radziszewski,1958,1958,1935-03-01,Saint Joseph's University,Ray Radziszewski,2.0,95.3,23,23,F,F,23.8,17.7,16.9,78.4
Ray Ragelis,1952,1952,1928-12-10,Northwestern University,Ray Ragelis,1.9,93.0,24,24,F,F,25.8,20.3,18.9,74.1
Sherwin Raiken,1953,1953,1928-10-29,Villanova University,Sherwin Raiken,1.9,83.9,25,25,G,G,23.2,17.4,14.6,69.3
Ed Rains,1982,1983,1956-12-24,University of South Alabama,Ed Rains,2.0,86.2,26,27,F,F,21.6,15.9,13.7,72.5
Igor Rakocevic,2003,2003,1978-03-29,Unknown,Igor Rakocevic,1.9,83.0,25,25,G,G,23.0,17.1,14.2,68.8
Kurt Rambis,1982,1995,1958-02-25,Santa Clara University,Kurt Rambis,2.0,96.6,24,37,F,F,24.2,21.3,20.6,76.0
Peter John Ramos,2005,2005,1985-05-13,Unknown,Peter John Ramos,2.2,124.7,20,20,C,C,25.8,19.4,24.2,100.5
Cal Ramsey,1960,1961,1937-07-13,New York University,Cal Ramsey,1.9,90.7,23,24,F,F,25.1,19.4,17.6,73.1
Frank Ramsey,1955,1964,1931-07-13,University of Kentucky,Frank Ramsey,1.9,86.2,24,33,F/G,F,23.9,20.1,17.3,68.9
Ray Ramsey,1949,1949,1921-07-18,Bradley University,Ray Ramsey,1.9,74.8,28,28,G/F,G,20.7,15.1,11.3,63.5
Mark Randall,1992,1995,1967-09-30,University of Kansas,Mark Randall,2.0,106.6,25,28,F,F,26.6,22.2,23.7,82.9
Chasson Randle,2017,2017,1993-02-05,Stanford University,Chasson Randle,1.9,83.9,24,24,G,G,23.2,17.2,14.4,69.5
Julius Randle,2015,2018,1994-11-29,University of Kentucky,Julius Randle,2.1,113.4,21,24,F/C,F,25.7,20.2,22.9,90.5
Anthony Randolph,2009,2014,1989-07-15,Louisiana State University,Anthony Randolph,2.1,93.0,20,25,F,F,21.1,14.9,13.9,79.1
Shavlik Randolph,2006,2015,1983-11-24,Duke University,Shavlik Randolph,2.1,108.9,23,32,F,F,24.7,20.8,22.7,86.2
Zach Randolph,2002,2018,1981-07-16,Michigan State University,Zach Randolph,2.1,117.9,21,37,F/C,F,26.7,24.3,28.6,89.3
Wally Rank,1981,1981,1958-03-01,San Jose State University,Wally Rank,2.0,99.8,23,23,F/G,F,25.0,19.1,19.1,80.7
Kelvin Ransey,1981,1986,1958-05-03,Ohio State University,Kelvin Ransey,1.9,77.1,23,28,G,G,21.4,15.9,12.3,64.8
Sam Ranzino,1952,1952,1928-06-23,North Carolina State University,Sam Ranzino,1.9,83.9,24,24,G,G,23.2,17.2,14.4,69.5
Bobby Rascoe,1968,1970,1940-07-22,Western Kentucky University,Bobby Rascoe,1.9,93.0,28,30,G/F,G,25.8,21.7,20.2,72.8
Blair Rasmussen,1986,1993,1962-11-13,University of Oregon,Blair Rasmussen,2.1,113.4,24,31,C,C,25.7,21.8,24.7,88.7
George Ratkovicz,1950,1955,1922-11-13,Unknown,George Ratkovicz,2.0,99.8,28,33,C/F,C,25.0,21.4,21.4,78.4
Ed Ratleff,1974,1978,1950-03-29,"California State University, Long Beach",Ed Ratleff,2.0,88.5,24,28,F/G,F,22.1,16.8,14.9,73.6
Mike Ratliff,1973,1974,1951-06-07,University of Wisconsin-Eau Claire,Mike Ratliff,2.1,104.3,22,23,C,C,23.7,17.5,18.3,86.0
Theo Ratliff,1996,2011,1973-04-17,University of Wyoming,Theo Ratliff,2.1,102.1,23,38,C/F,C,23.2,20.4,20.8,81.3
Andy Rautins,2011,2011,1986-11-02,Syracuse University,Andy Rautins,1.9,86.2,25,25,G,G,23.9,18.2,15.7,70.5
Leo Rautins,1984,1985,1960-03-20,Syracuse University,Leo Rautins,2.0,97.5,24,25,F,F,24.4,18.8,18.3,79.2
Allan Ray,2007,2007,1984-06-17,Villanova University,Allan Ray,1.9,86.2,23,23,G,G,23.9,17.8,15.3,70.9
Clifford Ray,1972,1981,1949-01-21,University of Oklahoma,Clifford Ray,2.1,104.3,23,32,C,C,23.7,19.6,20.4,83.9
Don Ray,1950,1950,1921-07-08,Western Kentucky University,Don Ray,2.0,86.2,29,29,F/C,F,21.6,16.4,14.1,72.1
James Ray,1981,1983,1957-07-27,Jacksonville University,James Ray,2.0,97.5,24,26,F,F,24.4,19.1,18.6,78.9
Jim Ray,1957,1960,1934-01-12,University of Toledo,Jim Ray,1.9,81.6,23,26,G,G,22.6,16.9,13.8,67.8
Jimmy Rayl,1968,1969,1941-06-21,Indiana University,Jimmy Rayl,1.9,79.4,27,28,G,G,22.0,16.6,13.2,66.2
Craig Raymond,1969,1973,1945-04-05,Brigham Young University,Craig Raymond,2.1,106.6,24,28,C,C,24.2,19.3,20.6,86.0
Connie Rea,1954,1954,1935-01-27,Centenary College of Louisiana,Connie Rea,1.9,79.4,19,19,G/F,G,22.0,14.6,11.6,67.8
Joe Reaves,1974,1974,1950-05-27,Bethel College,Joe Reaves,2.0,95.3,24,24,F,F,23.8,17.9,17.1,78.2
Zeljko Rebraca,2002,2006,1972-04-09,Unknown,Zeljko Rebraca,2.1,116.6,30,34,C,C,26.4,23.3,27.2,89.4
Eldridge Recasner,1995,2002,1967-12-14,University of Washington,Eldridge Recasner,1.9,86.2,28,35,G,G,23.9,20.5,17.7,68.5
Michael Redd,2001,2012,1979-08-24,Ohio State University,Michael Redd,2.0,99.8,22,33,G,G,25.0,21.4,21.4,78.4
Frank Reddout,1954,1954,,Syracuse University,Frank Reddout,2.0,88.5,,,F,F,22.1,,,
J.J. Redick,2007,2018,1984-06-24,Duke University,Jj Redick,1.9,86.2,23,34,G,G,23.9,20.3,17.5,68.7
Marlon Redmond,1979,1980,1955-04-15,University of San Francisco,Marlon Redmond,2.0,85.3,24,25,G,G,21.3,15.1,12.9,72.4
Hub Reed,1959,1965,1936-10-04,Oklahoma City University,Hub Reed,2.1,97.5,23,29,C/F,C,22.1,17.0,16.6,80.9
Justin Reed,2005,2007,1982-01-16,University of Mississippi,Justin Reed,2.0,108.9,23,25,F,F,27.2,22.2,24.2,84.7
Ron Reed,1966,1967,1942-11-02,University of Notre Dame,Ron Reed,2.0,93.0,24,25,F,F,23.2,17.4,16.2,76.8
Willie Reed,2016,2018,1990-05-16,Saint Louis University,Willie Reed,2.1,99.8,26,28,F/C,F,22.6,17.4,17.4,82.4
Willis Reed,1965,1974,1942-06-25,Grambling State University,Willis Reed,2.1,106.6,23,32,C/F,C,24.2,20.2,21.5,85.1
Bryant Reeves,1996,2001,1973-06-08,Oklahoma State University,Bryant Reeves,2.1,124.7,23,28,C,C,28.3,24.2,30.2,94.5
Khalid Reeves,1995,2000,1972-07-15,University of Arizona,Khalid Reeves,1.9,90.3,23,28,G,G,25.0,20.2,18.2,72.1
Richie Regan,1956,1958,1930-11-30,Seton Hall University,Richie Regan,1.9,81.6,26,28,G,G,22.6,17.4,14.2,67.4
Don Rehfeldt,1951,1952,1927-01-07,University of Wisconsin,Don Rehfeldt,2.0,95.3,24,25,F,F,23.8,18.1,17.2,78.1
Billy Reid,1981,1981,1957-09-10,University of San Francisco,Billy Reid,2.0,86.2,24,24,G,G,21.6,15.2,13.1,73.1
Don Reid,1996,2003,1973-12-30,Georgetown University,Don Reid,2.0,113.4,23,30,F,F,28.4,24.8,28.1,85.3
J.R. Reid,1990,2001,1968-03-31,University of North Carolina,Jr Reid,2.1,112.0,22,33,F,F,25.4,21.9,24.5,87.5
Jim Reid,1968,1968,1945-08-03,Winston-Salem State University,Jim Reid,2.0,95.3,23,23,F,F,23.8,17.7,16.9,78.4
Robert Reid,1978,1991,1955-08-30,St. Mary's University,Robert Reid,2.0,93.0,23,36,F/G,F,23.2,19.9,18.5,74.5
Ryan Reid,2012,2012,1986-10-30,Florida State University,Ryan Reid,2.0,105.2,26,26,F,F,26.3,21.3,22.4,82.8
Jared Reiner,2005,2007,1982-04-08,University of Iowa,Jared Reiner,2.1,115.7,23,25,C,C,26.2,21.0,24.3,91.4
Chick Reiser,1948,1950,1914-12-17,New York University,Chick Reiser,1.8,74.8,34,36,G/F,G,23.1,19.8,14.8,60.0
Richard Rellford,1988,1988,1964-02-16,University of Michigan,Richard Rellford,2.0,104.3,24,24,F,F,26.1,20.6,21.5,82.8
Terrence Rencher,1996,1996,1973-02-19,University of Texas at Austin,Terrence Rencher,1.9,83.9,23,23,G,G,23.2,16.9,14.2,69.7
John Rennicke,1952,1952,1929-08-11,Drake University,John Rennicke,1.9,83.9,23,23,G,G,23.2,16.9,14.2,69.7
Bob Rensberger,1947,1947,1921-03-07,University of Notre Dame,Bob Rensberger,1.9,77.1,26,26,F,F,21.4,15.5,12.0,65.1
Efthimi Rentzias,2003,2003,1976-01-11,Unknown,Efthimi Rentzias,2.1,113.4,27,27,C,C,25.7,20.8,23.6,89.8
Shawn Respert,1996,1999,1972-02-06,Michigan State University,Shawn Respert,1.9,88.5,24,27,G,G,24.5,19.4,17.2,71.3
Kevin Restani,1975,1982,1951-12-23,University of San Francisco,Kevin Restani,2.1,102.1,24,31,F/C,F,23.2,18.8,19.2,82.9
George Reynolds,1970,1970,1947-11-23,University of Houston,George Reynolds,1.9,88.5,23,23,G,G,24.5,18.5,16.4,72.1
Jerry Reynolds,1986,1996,1962-12-23,Louisiana State University,Jerry Reynolds,2.0,90.7,24,34,G/F,G,22.7,18.9,17.1,73.6
Kendall Rhine,1968,1969,1943-02-13,Rice University,Kendall Rhine,2.1,104.3,25,26,C,C,23.7,18.2,19.0,85.3
Gene Rhodes,1953,1953,1927-09-02,Western Kentucky University,Gene Rhodes,1.9,77.1,26,26,G,G,21.4,15.5,12.0,65.1
Rodrick Rhodes,1998,2000,1973-09-24,University of Southern California,Rodrick Rhodes,2.0,102.1,25,27,G/F,G,25.5,20.6,21.0,81.1
Glen Rice,1990,2004,1967-05-28,University of Michigan,Glen Rice,2.0,97.5,23,37,F,F,24.4,21.6,21.1,76.4
Glen Rice,2014,2015,1991-01-01,Georgia Institute of Technology,Glen Rice,2.0,93.4,23,24,G,G,23.4,17.4,16.3,77.1
Chris Richard,2008,2010,1984-12-25,University of Florida,Chris Richard,2.1,122.5,24,26,F,F,27.8,23.1,28.3,94.2
Clint Richardson,1980,1987,1956-08-07,Seattle University,Clint Richardson,1.9,88.5,24,31,G,G,24.5,20.3,18.0,70.5
Jason Richardson,2002,2015,1981-01-20,Michigan State University,Jason Richardson,2.0,99.8,21,34,G,G,25.0,21.6,21.6,78.2
Jeremy Richardson,2007,2009,1984-02-11,Delta State University,Jeremy Richardson,2.0,83.9,23,25,G/F,G,21.0,14.8,12.4,71.5
Josh Richardson,2016,2018,1993-09-15,University of Tennessee,Josh Richardson,2.0,90.7,23,25,G,G,22.7,16.8,15.2,75.5
Malachi Richardson,2017,2018,1996-01-05,Syracuse University,Malachi Richardson,2.0,93.0,21,22,G,G,23.2,16.7,15.5,77.5
Micheal Ray Richardson,1979,1986,1955-04-11,University of Montana,Micheal Ray Richardson,2.0,85.7,24,31,G/F,G,21.4,16.6,14.2,71.5
Norm Richardson,2002,2002,1979-07-24,Hofstra University,Norm Richardson,2.0,86.2,23,23,G,G,21.6,15.0,12.9,73.3
Pooh Richardson,1990,1999,1966-05-14,"University of California, Los Angeles",Pooh Richardson,1.9,81.6,24,33,G,G,22.6,18.5,15.1,66.5
Quentin Richardson,2001,2013,1980-04-13,DePaul University,Quentin Richardson,2.0,101.2,21,33,G,G,25.3,21.8,22.1,79.1
Mitch Richmond,1989,2002,1965-06-30,Kansas State University,Mitch Richmond,2.0,97.5,24,37,G,G,24.4,21.6,21.1,76.4
John Richter,1960,1960,1937-03-12,North Carolina State University,John Richter,2.1,102.1,23,23,F,F,23.2,16.9,17.3,84.8
Dick Ricketts,1956,1958,1933-12-04,Duquesne University,Dick Ricketts,2.0,97.5,23,25,F/C,F,24.4,18.8,18.3,79.2
Isaiah Rider,1994,2002,1971-03-12,"University of Nevada, Las Vegas",Isaiah Rider,2.0,97.5,23,31,G,G,24.4,20.2,19.7,77.8
Jackie Ridgle,1972,1972,1948-02-13,University of California,Jackie Ridgle,1.9,88.5,24,24,G,G,24.5,18.7,16.5,72.0
Luke Ridnour,2004,2015,1981-02-13,University of Oregon,Luke Ridnour,1.9,79.4,23,34,G,G,22.0,18.0,14.3,65.1
Mel Riebe,1947,1949,1916-07-12,College of Wooster,Mel Riebe,1.8,81.6,31,33,G/F,G,25.2,21.6,17.6,64.0
Bob Riedy,1968,1968,1945-08-26,Duke University,Bob Riedy,2.0,97.5,23,23,F,F,24.4,18.4,17.9,79.6
Jim Riffey,1951,1951,1923-12-14,Tulane University,Jim Riffey,1.9,90.7,28,28,F,F,25.1,20.4,18.5,72.2
Antoine Rigaudeau,2003,2003,1971-12-17,Unknown,Antoine Rigaudeau,2.0,95.3,32,32,G,G,23.8,19.7,18.8,76.5
Tom Riker,1973,1975,1950-02-28,University of South Carolina,Tom Riker,2.1,102.1,23,25,C/F,C,23.2,17.4,17.8,84.3
Bob Riley,1971,1971,1948-07-06,Mount St. Mary's University,Bob Riley,2.1,106.6,23,23,F,F,24.2,18.1,19.3,87.3
Eric Riley,1994,1999,1970-06-02,University of Michigan,Eric Riley,2.1,111.1,24,29,C,C,25.2,20.7,23.0,88.1
Pat Riley,1968,1976,1945-03-20,University of Kentucky,Pat Riley,1.9,93.0,23,31,G/F,G,25.8,21.9,20.4,72.6
Ron Riley,1973,1976,1950-11-11,University of Southern California,Ron Riley,2.0,88.5,23,26,F,F,22.1,16.3,14.4,74.1
Rich Rinaldi,1972,1974,1949-08-03,Saint Peter's College,Rich Rinaldi,1.9,88.5,23,25,G,G,24.5,19.0,16.8,71.7
Mike Riordan,1969,1977,1945-07-09,Providence College,Mike Riordan,1.9,90.7,24,32,G/F,G,25.1,21.3,19.3,71.4
